emp_no,first_name,last_name,to_date,title,salary
12128,Yannik,Barreiro,1998-11-25,Staff,81527
12159,Shem,Perly,9999-01-01,Senior Engineer,61210
12165,Xiaobin,Maquelin,9999-01-01,Senior Engineer,41951
12183,Harngdar,Iisaku,9999-01-01,Engineer,40000
12205,Sushant,Rossi,9999-01-01,Senior Engineer,40000
12206,Barton,Janetzko,9999-01-01,Senior Engineer,40000
12206,Barton,Janetzko,2001-03-27,Engineer,40000
12206,Barton,Janetzko,1993-03-27,Assistant Engineer,40000
12221,Vincent,Melter,9999-01-01,Senior Engineer,56736
12221,Vincent,Melter,1991-09-16,Engineer,56736
12222,Abdelwaheb,Holburn,1996-08-14,Staff,55840
12222,Abdelwaheb,Holburn,9999-01-01,Senior Staff,55840
12249,Eldridge,Sadowski,9999-01-01,Senior Engineer,70099
12249,Eldridge,Sadowski,1996-06-20,Engineer,70099
12256,Guadalupe,Reghbati,1992-08-26,Staff,40000
12256,Guadalupe,Reghbati,9999-01-01,Senior Staff,40000
12274,Garnik,Papadias,1989-01-18,Engineer,40000
12276,Yongmin,Lenart,2001-09-25,Senior Engineer,59844
12276,Yongmin,Lenart,2001-06-13,Engineer,59844
12308,Mototsugu,Cronau,1991-08-11,Staff,58741
12308,Mototsugu,Cronau,9999-01-01,Senior Staff,58741
12335,Arnould,Genin,2000-06-19,Senior Staff,40000
12341,Rasiah,Luga,9999-01-01,Senior Engineer,40000
12341,Rasiah,Luga,1990-05-25,Engineer,40000
12373,Mooi,Driscoll,9999-01-01,Senior Staff,75986
12415,Uri,Sluis,1998-10-10,Staff,53615
12422,Berhard,Demos,2001-06-07,Staff,71376
12422,Berhard,Demos,9999-01-01,Senior Staff,71376
12454,Kerryn,Farris,9999-01-01,Staff,41347
12493,Filipp,Menhardt,1988-12-04,Senior Engineer,40000
12497,Stein,Penz,1997-09-25,Staff,81191
12497,Stein,Penz,9999-01-01,Senior Staff,81191
12504,Adly,Rosaz,9999-01-01,Engineer,40000
12514,Tomofumi,Melter,9999-01-01,Engineer,54241
12528,Conor,Cincotta,1997-09-24,Staff,40000
12528,Conor,Cincotta,9999-01-01,Senior Staff,40000
12541,Shih,Nanard,1996-08-31,Staff,93105
12541,Shih,Nanard,9999-01-01,Senior Staff,93105
12542,Kazuhide,Bouloucos,1993-09-11,Staff,44176
12542,Kazuhide,Bouloucos,9999-01-01,Senior Staff,44176
12557,Stafford,Kopetz,9999-01-01,Senior Engineer,41840
12637,Poorav,Karner,1995-11-02,Staff,44370
12637,Poorav,Karner,1999-01-08,Senior Staff,44370
12642,Suebskul,Gips,2001-10-28,Staff,68271
12642,Suebskul,Gips,9999-01-01,Senior Staff,68271
12651,Pragnesh,Bael,9999-01-01,Senior Staff,75150
12662,Leucio,Alvarado,9999-01-01,Engineer,69016
12662,Leucio,Alvarado,1994-08-27,Assistant Engineer,69016
12664,Zhonghua,Parveen,9999-01-01,Staff,40000
12678,Carrsten,Borovoy,2000-04-22,Engineer,44529
12689,Luerbio,Boudaillier,9999-01-01,Senior Engineer,59689
12689,Luerbio,Boudaillier,2001-11-23,Engineer,59689
12717,Tzu,Jiafu,9999-01-01,Staff,53194
12722,Elliott,Cheshire,9999-01-01,Senior Staff,62325
12729,Nahla,Rahier,9999-01-01,Senior Engineer,51796
12729,Nahla,Rahier,1997-10-15,Engineer,51796
12730,Barry,Perl,1998-03-24,Technique Leader,40000
12731,Yongmao,Waymire,9999-01-01,Senior Staff,40000
12759,LiMin,Kuszyk,1996-01-02,Senior Staff,49963
12773,Jenwei,Lovengreen,9999-01-01,Senior Engineer,65556
12773,Jenwei,Lovengreen,1994-03-05,Engineer,65556
12775,Mariangiola,Berendt,2002-04-05,Engineer,69805
12775,Mariangiola,Berendt,1999-02-24,Assistant Engineer,69805
12798,Lillian,Beeson,1996-12-26,Staff,81145
12798,Lillian,Beeson,9999-01-01,Senior Staff,81145
12819,Mountaz,Gubsky,9999-01-01,Senior Engineer,48455
12819,Mountaz,Gubsky,1996-09-09,Engineer,48455
12846,Krisda,Cyne,2000-10-15,Staff,63962
12846,Krisda,Cyne,2001-01-15,Senior Staff,63962
12853,Mang,Brobst,1993-01-04,Staff,47160
12853,Mang,Brobst,1996-10-03,Senior Staff,47160
12879,Baruch,Eugenio,9999-01-01,Senior Engineer,40000
12879,Baruch,Eugenio,1995-06-11,Engineer,40000
12893,Licheng,Crouzet,1995-03-18,Staff,50803
12893,Licheng,Crouzet,9999-01-01,Senior Staff,50803
12905,Munehiro,Gecsei,9999-01-01,Senior Engineer,58659
12905,Munehiro,Gecsei,1993-07-18,Engineer,58659
12922,Jacqueline,Porenta,1993-09-16,Senior Staff,69441
12926,Heekeun,Luby,1992-12-24,Staff,68314
12926,Heekeun,Luby,9999-01-01,Senior Staff,68314
12937,Arup,Cincotta,1992-12-14,Staff,59206
12940,Odinaldo,Farrar,9999-01-01,Senior Engineer,49760
12940,Odinaldo,Farrar,1992-12-11,Engineer,49760
12941,Tommaso,Perelgut,9999-01-01,Senior Engineer,67069
12941,Tommaso,Perelgut,1995-11-06,Engineer,67069
12951,Mohammad,Keirsey,1994-07-27,Senior Staff,60566
12972,Juyoung,Azevdeo,1990-08-07,Staff,40000
12983,Elliott,Hambrick,9999-01-01,Staff,57252
13030,Yahiko,Kroll,1999-11-25,Staff,51770
13030,Yahiko,Kroll,9999-01-01,Senior Staff,51770
13047,Atilio,Chelton,9999-01-01,Senior Engineer,52323
13047,Atilio,Chelton,1997-02-25,Engineer,52323
13062,Xinglin,Baak,2000-05-31,Technique Leader,55665
13075,Rosella,Morrin,1991-08-17,Staff,40000
13075,Rosella,Morrin,9999-01-01,Senior Staff,40000
13076,Deniz,Skafidas,9999-01-01,Engineer,50582
13096,Ibibia,Armand,9999-01-01,Senior Engineer,52544
13096,Ibibia,Armand,2001-04-22,Engineer,52544
13124,Quingbo,Garnick,9999-01-01,Senior Staff,73785
13133,Guther,Senzako,1991-09-03,Staff,67777
13133,Guther,Senzako,9999-01-01,Senior Staff,67777
13144,Persi,Nollmann,1997-06-19,Staff,52825
13144,Persi,Nollmann,9999-01-01,Senior Staff,52825
13147,Shichao,Ginesta,1998-06-29,Staff,77429
13147,Shichao,Ginesta,9999-01-01,Senior Staff,77429
13156,Akeel,Millington,9999-01-01,Senior Engineer,48285
13156,Akeel,Millington,2000-08-18,Engineer,48285
13165,Lucian,Benner,9999-01-01,Senior Engineer,42796
13165,Lucian,Benner,1995-03-17,Engineer,42796
13192,Rosita,Flowers,9999-01-01,Technique Leader,43986
13202,Aram,Scharstein,1992-03-28,Staff,51915
13202,Aram,Scharstein,9999-01-01,Senior Staff,51915
13233,Alselm,Chvatal,9999-01-01,Senior Engineer,49414
13233,Alselm,Chvatal,1995-03-31,Engineer,49414
13240,King,Pileggi,9999-01-01,Senior Engineer,49018
13240,King,Pileggi,2001-03-10,Engineer,49018
13243,Fay,Huxford,1999-11-11,Staff,67269
13272,Arun,Jiang,9999-01-01,Senior Staff,40000
13276,Yechiam,Seuren,1991-03-09,Staff,65836
13276,Yechiam,Seuren,9999-01-01,Senior Staff,65836
13288,Muneo,Broomell,1995-04-14,Staff,40000
13288,Muneo,Broomell,9999-01-01,Senior Staff,40000
13302,Mack,Alencar,9999-01-01,Senior Engineer,40000
13302,Mack,Alencar,1997-09-26,Engineer,40000
13305,Bikash,Herath,1994-07-17,Staff,104969
13305,Bikash,Herath,1995-01-19,Senior Staff,104969
13315,Sakthirel,Stroustrup,9999-01-01,Senior Engineer,40000
13315,Sakthirel,Stroustrup,1999-06-02,Engineer,40000
13333,Yoshinari,Hennebert,9999-01-01,Engineer,50997
13333,Yoshinari,Hennebert,1996-03-23,Assistant Engineer,50997
13343,Heon,Usery,1995-07-30,Staff,40000
13343,Heon,Usery,9999-01-01,Senior Staff,40000
13371,Nakhoon,Riexinger,9999-01-01,Senior Engineer,40000
13373,Juichirou,Naumovich,2000-08-23,Staff,82749
13373,Juichirou,Naumovich,9999-01-01,Senior Staff,82749
13385,Claudi,Buchter,9999-01-01,Senior Staff,40000
13389,Divine,Cmelik,9999-01-01,Senior Staff,40000
13392,Fumitake,Beidas,1993-08-26,Staff,69221
13392,Fumitake,Beidas,9999-01-01,Senior Staff,69221
13396,Chuanyi,Aumann,9999-01-01,Senior Staff,40000
13402,Augustine,Dulli,9999-01-01,Engineer,40000
13407,Gio,Chenoweth,9999-01-01,Senior Engineer,60348
13407,Gio,Chenoweth,2001-10-03,Engineer,60348
13408,Sreekrishna,Lagarias,9999-01-01,Senior Engineer,52479
13408,Sreekrishna,Lagarias,2000-07-24,Engineer,52479
13442,Giordano,Miake,1994-06-16,Staff,40000
13442,Giordano,Miake,9999-01-01,Senior Staff,40000
13443,Mayuko,Puppo,9999-01-01,Senior Engineer,40000
13443,Mayuko,Puppo,1996-12-25,Engineer,40000
13445,Renee,Dehkordi,9999-01-01,Engineer,53194
13504,Parto,Mandell,9999-01-01,Engineer,41895
13504,Parto,Mandell,1994-12-21,Assistant Engineer,41895
13524,Chaoyi,Porotnikoff,2000-10-27,Staff,52849
13524,Chaoyi,Porotnikoff,9999-01-01,Senior Staff,52849
13546,Aimee,Brookner,9999-01-01,Senior Engineer,50295
13546,Aimee,Brookner,1997-10-26,Engineer,50295
13549,Matk,Koprowski,9999-01-01,Technique Leader,40000
13552,Ingmar,Capobianchi,1993-03-23,Staff,73346
13552,Ingmar,Capobianchi,9999-01-01,Senior Staff,73346
13560,Sibyl,Jeong,1998-03-12,Engineer,40000
13560,Sibyl,Jeong,1994-07-28,Assistant Engineer,40000
13576,Jungsoon,Engberts,2001-08-29,Staff,73022
13576,Jungsoon,Engberts,9999-01-01,Senior Staff,73022
13624,Zhigen,Yurek,1996-05-11,Staff,40000
13624,Zhigen,Yurek,9999-01-01,Senior Staff,40000
13648,Zejun,Lamba,9999-01-01,Technique Leader,47723
13653,Kristen,Iivonen,2000-01-17,Staff,53242
13653,Kristen,Iivonen,9999-01-01,Senior Staff,53242
13684,Elvia,Christ,2002-03-30,Senior Staff,79100
13721,Sugwoo,Delgrossi,2001-09-20,Staff,64754
13721,Sugwoo,Delgrossi,9999-01-01,Senior Staff,64754
13747,Masaru,Capobianchi,1987-12-10,Senior Staff,47752
13769,Yakichi,Trogemann,9999-01-01,Senior Staff,61025
13792,Valery,Sury,1991-07-27,Staff,59127
13792,Valery,Sury,9999-01-01,Senior Staff,59127
13796,Paloma,Thorelli,9999-01-01,Engineer,50962
13801,Shih,Mayerwieser,1999-06-25,Staff,64182
13815,Guadalupe,Plotkin,9999-01-01,Senior Engineer,40000
13815,Guadalupe,Plotkin,1993-09-09,Engineer,40000
13825,Arlette,Pell,9999-01-01,Technique Leader,54704
13842,Juichirou,Cichocki,2000-04-20,Staff,40000
13842,Juichirou,Cichocki,9999-01-01,Senior Staff,40000
13859,Anoosh,Fujisawa,9999-01-01,Senior Engineer,40000
13859,Anoosh,Fujisawa,1992-08-22,Engineer,40000
13930,Sukumar,Chartres,1992-11-26,Staff,78867
13930,Sukumar,Chartres,2000-04-20,Senior Staff,78867
13934,Shiv,Bratsberg,9999-01-01,Senior Engineer,46507
13942,Elzbieta,Esteva,9999-01-01,Technique Leader,40000
13951,Mooi,Genther,1990-12-28,Staff,82054
13951,Mooi,Genther,9999-01-01,Senior Staff,82054
13960,Nechama,Hettesheimer,9999-01-01,Senior Staff,43204
13966,Boguslaw,Cooman,9999-01-01,Senior Staff,40000
13969,Jianwen,Chandrasekhar,9999-01-01,Technique Leader,60392
13992,Ulises,Kenevan,1994-07-27,Staff,81318
13992,Ulises,Kenevan,9999-01-01,Senior Staff,81318
14005,Vojin,Stellhorn,9999-01-01,Technique Leader,40000
14067,Godehard,Trachtenberg,9999-01-01,Senior Engineer,44669
14067,Godehard,Trachtenberg,2000-02-14,Engineer,44669
14102,Feixiong,Jording,1991-02-21,Engineer,48200
14107,Xiahua,Rindone,1999-12-15,Staff,82396
14107,Xiahua,Rindone,9999-01-01,Senior Staff,82396
14167,Adas,Hertweck,9999-01-01,Senior Engineer,40000
14167,Adas,Hertweck,1994-12-01,Engineer,40000
14191,Jiann,Luby,9999-01-01,Senior Engineer,40155
14191,Jiann,Luby,1993-01-15,Engineer,40155
14197,Adin,Chachaty,1993-01-20,Staff,52474
14197,Adin,Chachaty,2000-12-24,Senior Staff,52474
14209,Masanao,Kusakabe,9999-01-01,Senior Staff,40000
14220,Tomofumi,Pargas,9999-01-01,Senior Engineer,68017
14224,Guther,Conta,1986-10-23,Staff,40000
14232,Masali,Bojadziev,9999-01-01,Senior Engineer,50568
14232,Masali,Bojadziev,1999-09-10,Engineer,50568
14236,Xuedong,Angiulli,9999-01-01,Senior Staff,40000
14237,Abdulla,Gerlach,9999-01-01,Senior Engineer,57219
14237,Abdulla,Gerlach,1994-06-13,Engineer,57219
14242,Sudhanshu,Benaini,1992-06-27,Staff,40000
14242,Sudhanshu,Benaini,9999-01-01,Senior Staff,40000
14289,Paraskevi,Gist,2001-05-09,Assistant Engineer,60863
14293,Qunsheng,Middleton,1990-09-12,Senior Staff,40000
14298,Chriss,Granlund,9999-01-01,Senior Engineer,40000
14298,Chriss,Granlund,2001-01-06,Engineer,40000
14310,Marlo,Leuchs,9999-01-01,Senior Staff,40000
14320,Sreenivas,Schaar,9999-01-01,Senior Engineer,40000
14320,Sreenivas,Schaar,1992-06-29,Engineer,40000
14323,Golgen,Leslie,9999-01-01,Staff,40000
14340,Vitaly,Wixon,9999-01-01,Senior Engineer,42858
14340,Vitaly,Wixon,1995-12-19,Engineer,42858
14345,Barry,Ramsey,1990-07-15,Engineer,61910
14354,Mong,Bojadziev,1990-08-28,Staff,40000
