emp_no,first_name,last_name,to_date
12731,Yongmao,Waymire,1999-01-01
12732,Mara,Takanami,1999-01-01
12734,Gil,Frijda,1999-01-01
12755,Rildo,Rodite,1999-01-01
12773,Jenwei,Lovengreen,1999-01-01
12790,Gunilla,Perl,1999-01-01
12795,Masoud,Fordan,1999-01-01
12798,Lillian,Beeson,1999-01-01
12803,Gad,Boissier,1999-01-01
12815,Sushant,Junot,1999-01-01
12819,Mountaz,Gubsky,1999-01-01
12848,Kazuhide,Smeets,1999-01-01
12863,Leif,Matheson,1999-01-01
12872,Marl,Schmittgen,1999-01-01
12879,Baruch,Eugenio,1999-01-01
12890,Neven,Casley,1999-01-01
12893,Licheng,Crouzet,1999-01-01
12895,Roddy,Serot,1999-01-01
12905,Munehiro,Gecsei,1999-01-01
12926,Heekeun,Luby,1999-01-01
12940,Odinaldo,Farrar,1999-01-01
12941,Tommaso,Perelgut,1999-01-01
12949,Geoff,Asrin,1999-01-01
12977,Byong,Markovitch,1999-01-01
12983,Elliott,Hambrick,1999-01-01
13030,Yahiko,Kroll,1999-01-01
13046,Vivian,Stafford,1999-01-01
13047,Atilio,Chelton,1999-01-01
13075,Rosella,Morrin,1999-01-01
13076,Deniz,Skafidas,1999-01-01
13096,Ibibia,Armand,1999-01-01
13103,Srinidhi,Ellozy,1999-01-01
13124,Quingbo,Garnick,1999-01-01
13133,Guther,Senzako,1999-01-01
13134,Lorien,Chepyzhov,1999-01-01
13144,Persi,Nollmann,1999-01-01
13146,Haldon,Erie,1999-01-01
13147,Shichao,Ginesta,1999-01-01
13156,Akeel,Millington,1999-01-01
13165,Lucian,Benner,1999-01-01
13168,Munir,Stentiford,1999-01-01
13170,Cheong,Bernardeschi,1999-01-01
13171,Anoosh,Birnbaum,1999-01-01
13173,Arve,Horswill,1999-01-01
13179,Moty,Janocha,1999-01-01
13182,Kokou,Rodite,1999-01-01
13186,Kyoichi,Barbanera,1999-01-01
13192,Rosita,Flowers,1999-01-01
13202,Aram,Scharstein,1999-01-01
13210,Jianhua,Klassen,1999-01-01
13213,Hein,Billawala,1999-01-01
13232,Mitchel,Fujisaki,1999-01-01
13233,Alselm,Chvatal,1999-01-01
13238,Ebru,Foote,1999-01-01
13240,King,Pileggi,1999-01-01
13250,Zeydy,Schusler,1999-01-01
13272,Arun,Jiang,1999-01-01
13276,Yechiam,Seuren,1999-01-01
13288,Muneo,Broomell,1999-01-01
13291,Georg,Stamatiou,1999-01-01
13302,Mack,Alencar,1999-01-01
13315,Sakthirel,Stroustrup,1999-01-01
13332,Nidapan,Pearson,1999-01-01
13333,Yoshinari,Hennebert,1999-01-01
13341,Bodh,Doering,1999-01-01
13343,Heon,Usery,1999-01-01
13368,Kiyokazu,Klassen,1999-01-01
13371,Nakhoon,Riexinger,1999-01-01
13373,Juichirou,Naumovich,1999-01-01
13385,Claudi,Buchter,1999-01-01
13386,Khosrow,Sgarro,1999-01-01
13389,Divine,Cmelik,1999-01-01
13392,Fumitake,Beidas,1999-01-01
13396,Chuanyi,Aumann,1999-01-01
13402,Augustine,Dulli,1999-01-01
13405,Randy,Baba,1999-01-01
13407,Gio,Chenoweth,1999-01-01
13408,Sreekrishna,Lagarias,1999-01-01
13415,Nathalie,Speer,1999-01-01
13422,Vishwani,Gerlach,1999-01-01
13442,Giordano,Miake,1999-01-01
13443,Mayuko,Puppo,1999-01-01
13445,Renee,Dehkordi,1999-01-01
13451,Gretta,Weiland,1999-01-01
13457,Shooichi,Parfitt,1999-01-01
13458,Feipei,Nivat,1999-01-01
13463,Theron,Berstel,1999-01-01
13465,Sasan,Rehfuss,1999-01-01
13493,Uinam,Jullig,1999-01-01
13504,Parto,Mandell,1999-01-01
13524,Chaoyi,Porotnikoff,1999-01-01
13535,Arunas,Schlenzig,1999-01-01
13546,Aimee,Brookner,1999-01-01
13549,Matk,Koprowski,1999-01-01
13552,Ingmar,Capobianchi,1999-01-01
13576,Jungsoon,Engberts,1999-01-01
13605,Dmitry,Encarnacion,1999-01-01
13621,Fei,Haddadi,1999-01-01
13624,Zhigen,Yurek,1999-01-01
13629,Dzung,Trelles,1999-01-01
13648,Zejun,Lamba,1999-01-01
13653,Kristen,Iivonen,1999-01-01
13670,Moti,Takanami,1999-01-01
13680,Denny,Speer,1999-01-01
13685,Weicheng,Hockney,1999-01-01
13697,Shuichi,Weedon,1999-01-01
13704,Vishu,Kumaresan,1999-01-01
13721,Sugwoo,Delgrossi,1999-01-01
13727,Vitali,Merey,1999-01-01
13738,Bangqing,Mitchem,1999-01-01
13766,Tremaine,Heemskerk,1999-01-01
13769,Yakichi,Trogemann,1999-01-01
13775,Arve,Maierhofer,1999-01-01
13786,Takushi,Berendt,1999-01-01
13787,Xiaobin,Sinicrope,1999-01-01
13792,Valery,Sury,1999-01-01
13796,Paloma,Thorelli,1999-01-01
13809,Kiyotoshi,Basagni,1999-01-01
13815,Guadalupe,Plotkin,1999-01-01
13825,Arlette,Pell,1999-01-01
13841,Christophe,Spinelli,1999-01-01
13842,Juichirou,Cichocki,1999-01-01
13846,Guiseppe,Welham,1999-01-01
13853,Mingsen,Roohalamini,1999-01-01
13859,Anoosh,Fujisawa,1999-01-01
13884,Kensei,Swift,1999-01-01
13894,Ult,Schonegge,1999-01-01
13904,Youngkon,Cairo,1999-01-01
13934,Shiv,Bratsberg,1999-01-01
13942,Elzbieta,Esteva,1999-01-01
13951,Mooi,Genther,1999-01-01
13960,Nechama,Hettesheimer,1999-01-01
13962,Maris,Ghelli,1999-01-01
13966,Boguslaw,Cooman,1999-01-01
13969,Jianwen,Chandrasekhar,1999-01-01
13990,Deborah,Schapiro,1999-01-01
13992,Ulises,Kenevan,1999-01-01
13999,Florian,Crouzet,1999-01-01
14005,Vojin,Stellhorn,1999-01-01
14015,Manibrata,Picaronny,1999-01-01
14034,Aloys,Seghrouchni,1999-01-01
14041,Shan,DeMori,1999-01-01
14067,Godehard,Trachtenberg,1999-01-01
14088,Mori,Leslie,1999-01-01
14107,Xiahua,Rindone,1999-01-01
14111,Leszek,Cummings,1999-01-01
14118,Kasturi,Anido,1999-01-01
14167,Adas,Hertweck,1999-01-01
14191,Jiann,Luby,1999-01-01
14209,Masanao,Kusakabe,1999-01-01
14220,Tomofumi,Pargas,1999-01-01
14232,Masali,Bojadziev,1999-01-01
14236,Xuedong,Angiulli,1999-01-01
14237,Abdulla,Gerlach,1999-01-01
14242,Sudhanshu,Benaini,1999-01-01
14257,Kwok,Massonet,1999-01-01
14290,Miyeon,Olivero,1999-01-01
14292,Susanna,Vigier,1999-01-01
14298,Chriss,Granlund,1999-01-01
14310,Marlo,Leuchs,1999-01-01
14320,Sreenivas,Schaar,1999-01-01
14322,Shem,Kakkad,1999-01-01
14323,Golgen,Leslie,1999-01-01
14340,Vitaly,Wixon,1999-01-01
14344,Otilia,Buescher,1999-01-01
14354,Mong,Bojadziev,1999-01-01
14360,Janche,Erbe,1999-01-01
14372,Saniya,Srimani,1999-01-01
14384,Tomofumi,Holburn,1999-01-01
14422,Toshimo,Gadepally,1999-01-01
14434,Elvis,Maginnis,1999-01-01
14439,Raimond,Woycyznski,1999-01-01
14460,Yagil,Lueh,1999-01-01
14478,Munehiro,Boissier,1999-01-01
14481,Moti,Lammel,1999-01-01
14483,Supot,Marrevee,1999-01-01
14486,Indrajit,Birdsall,1999-01-01
14498,Xiong,Selenyi,1999-01-01
14501,Taizo,Kroft,1999-01-01
14509,Danil,Aloia,1999-01-01
14513,Samphel,Barreiro,1999-01-01
14515,Kazuhisa,Versino,1999-01-01
14516,Kristian,Underwood,1999-01-01
14518,Patricia,Peir,1999-01-01
14522,Chuanyi,Ranta,1999-01-01
14537,Babette,Engelmann,1999-01-01
14552,Ibibia,Snyers,1999-01-01
14556,Fatemeh,Zultner,1999-01-01
14560,Elrique,Driscoll,1999-01-01
14581,Gao,Condotta,1999-01-01
14582,Kiyokazu,Morrin,1999-01-01
14600,Jayson,Cairo,1999-01-01
14603,Lech,Marquardt,1999-01-01
14607,Suzette,Selvestrel,1999-01-01
14620,Jianhua,Erev,1999-01-01
14621,Souichi,Wixon,1999-01-01
14632,Gudjon,McClurg,1999-01-01
14639,Arvind,Hempstead,1999-01-01
14640,Toshimori,Kornatzky,1999-01-01
14642,Florian,Kuhnemann,1999-01-01
14645,Laurentiu,Glinert,1999-01-01
14648,IEEE,Lorys,1999-01-01
14659,Sashi,Adachi,1999-01-01
14675,Teunis,Angel,1999-01-01
14677,Herbert,Sifakis,1999-01-01
14683,Alois,Basart,1999-01-01
14690,Yechezkel,Bellone,1999-01-01
14693,Brewster,Stranks,1999-01-01
14710,Mahmut,Hainaut,1999-01-01
14723,Constantino,Assaf,1999-01-01
14724,Aron,Lemarechal,1999-01-01
14780,Marlo,Bruckman,1999-01-01
14785,Zhonghua,Kaiser,1999-01-01
14793,Stein,Uchoa,1999-01-01
14814,Odysseas,Nishimukai,1999-01-01
14817,Gaurav,Masaki,1999-01-01
14821,Oguz,Kilgore,1999-01-01
14839,Changho,Cronin,1999-01-01
14853,Taiji,Nergos,1999-01-01
14877,Arto,Meriste,1999-01-01
14879,Anyuan,Sigstam,1999-01-01
14888,Temple,Barriga,1999-01-01
14899,Alejandro,Casley,1999-01-01
14906,Adil,Parveen,1999-01-01
14908,Kerhong,Flanders,1999-01-01
14909,Mohan,Kamble,1999-01-01
14911,Xiaobin,Chelton,1999-01-01
14914,Gretta,Benzaken,1999-01-01
14915,Huican,Picco,1999-01-01
14923,Shuzo,Gyorkos,1999-01-01
14928,Satoru,Mukaidono,1999-01-01
14941,Nathan,Lichtner,1999-01-01
14942,Heon,Benveniste,1999-01-01
14949,Insup,Reinhart,1999-01-01
14954,Fox,Magliocco,1999-01-01
14971,Fan,Simmen,1999-01-01
14983,Hyuckchul,Pouyioutas,1999-01-01
14993,Sanjay,Koblitz,1999-01-01
15005,Kiam,Sadowsky,1999-01-01
15016,Woody,Gulik,1999-01-01
15018,Ramalingam,Prenel,1999-01-01
15019,Qingxiang,Shokrollahi,1999-01-01
15029,Giordano,Koshino,1999-01-01
15030,Rasikan,Nourani,1999-01-01
15036,Ziva,Delgrande,1999-01-01
15049,Khun,Waymire,1999-01-01
15052,Flemming,Kranzdorf,1999-01-01
15055,Shrikanth,Sherertz,1999-01-01
15066,Tomokazu,Oaver,1999-01-01
15069,Manton,Siksek,1999-01-01
15071,Ayonca,Couchot,1999-01-01
15075,Radoslaw,Rijsenbrij,1999-01-01
15077,Toshiki,Taubenfeld,1999-01-01
15082,Guadalupe,Zirintsis,1999-01-01
15087,Chirstian,Ushiama,1999-01-01
15089,Giri,Coney,1999-01-01
15092,Remmert,Bahi,1999-01-01
15102,Luigi,Axelband,1999-01-01
15105,Sudhanshu,Itzigehl,1999-01-01
15114,Pantung,Honglei,1999-01-01
15134,Arun,Luiz,1999-01-01
15145,Haldon,Servieres,1999-01-01
15151,Urs,Pouyioutas,1999-01-01
15176,Charlene,Sankaranarayanan,1999-01-01
15193,Neelam,Schach,1999-01-01
15196,Souichi,Duclos,1999-01-01
15202,Pranay,Irland,1999-01-01
15208,Sudharsan,Shokrollahi,1999-01-01
15218,Shuky,Conry,1999-01-01
15228,Mona,Salvesen,1999-01-01
15230,Keiichiro,Suessmith,1999-01-01
15234,Jouko,Zhiwei,1999-01-01
15237,Reinhard,Sadowsky,1999-01-01
15243,Mountaz,Famili,1999-01-01
15248,Edwin,Baar,1999-01-01
15253,Ayonca,Pardalos,1999-01-01
15269,Eric,Reghbati,1999-01-01
15271,Shiv,Bernardeschi,1999-01-01
15292,Miyeon,Lammel,1999-01-01
15324,Ziya,Lunn,1999-01-01
15329,Fan,Openshaw,1999-01-01
15330,Jaroslava,Chinal,1999-01-01
15337,Masaru,Radivojevic,1999-01-01
15343,Chaosheng,Luce,1999-01-01
15354,Chikara,Nyrup,1999-01-01
15365,Mikhail,Schiettecatte,1999-01-01
15369,Premal,Penttonen,1999-01-01
15370,Chuanyi,Nilsson,1999-01-01
15372,Nahum,Broder,1999-01-01
15375,Shuho,Manders,1999-01-01
15377,Shugo,Aumann,1999-01-01
15382,Alassane,Siegrist,1999-01-01
15392,Pradeep,Markovitch,1999-01-01
15408,Maik,Penttonen,1999-01-01
15410,Wilmer,Kushner,1999-01-01
15412,Huai,Thiria,1999-01-01
15438,Constantijn,Munoz,1999-01-01
15441,Arvind,Weisert,1999-01-01
15452,Kazuhira,Weedman,1999-01-01
15454,Hongzue,Cesareni,1999-01-01
15470,Weiwu,Huhdanpaa,1999-01-01
15474,Gilbert,Plumb,1999-01-01
15479,Zhenbing,Soicher,1999-01-01
15480,Kwok,Trogemann,1999-01-01
15504,Kasturi,Alpin,1999-01-01
15505,Collette,Mikschl,1999-01-01
15510,Inderjeet,Sethi,1999-01-01
15511,George,Kowalchuk,1999-01-01
15518,Uno,Valtorta,1999-01-01
15525,Masadi,Cherinka,1999-01-01
15534,Guozhong,Grabner,1999-01-01
15543,Mingdong,Staelin,1999-01-01
15548,Sanjai,Caine,1999-01-01
15563,Constantino,Zykh,1999-01-01
15565,True,Muchinsky,1999-01-01
15566,Baoqiu,Azuma,1999-01-01
15600,Mack,Perna,1999-01-01
15601,Carrsten,Anily,1999-01-01
15651,Huan,Iwayama,1999-01-01
15656,Mohammad,Schaaf,1999-01-01
15682,Hiroyasu,Przulj,1999-01-01
15687,Dekang,Ambroszkiewicz,1999-01-01
15703,Chenye,Hanratty,1999-01-01
15708,Reuven,Kushnir,1999-01-01
15714,Troy,Bala,1999-01-01
15715,Insup,Ibel,1999-01-01
15726,Zhilian,Parascandalo,1999-01-01
15739,Poorav,Bahr,1999-01-01
15740,Stepehn,Pocchiola,1999-01-01
15750,Arumugam,Bresenham,1999-01-01
15765,Tonny,Taubenfeld,1999-01-01
15767,Baocai,Broomell,1999-01-01
15769,Pranay,Oskamp,1999-01-01
15788,Taegyun,Deyuan,1999-01-01
15799,Manton,Gelosh,1999-01-01
15809,Mingsen,Antonisse,1999-01-01
15819,Magdalena,Rajcani,1999-01-01
15821,Aleksander,Antonakopoulos,1999-01-01
15846,Bowen,Litecky,1999-01-01
15861,Gio,Anido,1999-01-01
15866,Angel,Seiwald,1999-01-01
15869,Guoxiang,Bala,1999-01-01
15876,Munehiro,Vakili,1999-01-01
15877,Yannik,Kroll,1999-01-01
15880,Miquel,Dechter,1999-01-01
15889,Sasan,Azumi,1999-01-01
15892,Lunjin,Pettis,1999-01-01
15901,Marsja,Fargier,1999-01-01
15902,Kazuhide,Stille,1999-01-01
15905,DeForest,Petersohn,1999-01-01
15911,Shaibal,Viele,1999-01-01
15934,Kensyu,Shinomoto,1999-01-01
15938,Garnik,Covnot,1999-01-01
15942,Murthy,Rosca,1999-01-01
15943,Yakkov,Demke,1999-01-01
15945,Hauke,Larfeldt,1999-01-01
15948,Karoline,Versino,1999-01-01
15955,Yuguang,Dratva,1999-01-01
15971,Arumugam,Aloia,1999-01-01
15977,King,Ballarin,1999-01-01
15978,Kaijung,Wielonsky,1999-01-01
15993,Yoshimitsu,Peir,1999-01-01
16000,Marek,Demos,1999-01-01
16018,Boutros,Papadias,1999-01-01
16019,Chaoyi,Heystek,1999-01-01
16025,Doowon,Luce,1999-01-01
16028,JiYoung,Takkinen,1999-01-01
16033,Wayne,Spelt,1999-01-01
16052,Maria,Rodham,1999-01-01
16066,Marsha,Penn,1999-01-01
16068,Leandro,Zongker,1999-01-01
16076,Marko,Ebeling,1999-01-01
16077,Kannan,Heemskerk,1999-01-01
16086,Mohammad,Denos,1999-01-01
16094,Berto,Rosar,1999-01-01
16099,Mohan,Ferretti,1999-01-01
16126,Tse,Crabtree,1999-01-01
