emp_no,first_name,last_name,to_date,title
10653,Otmar,Feinberg,9999-01-01,Senior Engineer
10671,Parviz,Rebaine,9999-01-01,Senior Staff
10671,Parviz,Rebaine,2001-09-13,Staff
10672,Bluma,Zeilberger,1996-04-19,Senior Engineer
10676,Valeri,Danley,9999-01-01,Engineer
10693,Berhard,Daescu,9999-01-01,Senior Staff
10693,Berhard,Daescu,1991-01-08,Staff
10694,Rildo,Straney,2001-07-11,Senior Staff
10694,Rildo,Straney,1993-01-25,Staff
10702,Bader,Szemeredi,9999-01-01,Senior Engineer
10718,Adib,Rullman,1997-07-21,Engineer
10718,Adib,Rullman,9999-01-01,Senior Engineer
10726,Zita,Minakawa,2001-02-24,Engineer
10726,Zita,Minakawa,9999-01-01,Senior Engineer
10731,Fumitaka,Peak,2000-10-09,Senior Staff
10731,Fumitaka,Peak,1994-02-20,Staff
10734,Sachar,Erdi,9999-01-01,Engineer
10745,Poorav,Ranze,1997-01-22,Engineer
10745,Poorav,Ranze,9999-01-01,Senior Engineer
10749,King,Brendel,1990-09-26,Engineer
10749,King,Brendel,9999-01-01,Senior Engineer
10751,Jordanka,Ushiama,2000-12-05,Engineer
10767,Monique,Doering,9999-01-01,Staff
10768,Ishfaq,Candan,1990-07-04,Engineer
10768,Ishfaq,Candan,9999-01-01,Senior Engineer
10777,Mizuhito,Kemmerer,1996-03-16,Engineer
10777,Mizuhito,Kemmerer,2001-03-27,Senior Engineer
10778,Selwyn,Merey,9999-01-01,Senior Staff
10791,Tadahiko,Sgarro,1995-07-31,Engineer
10791,Tadahiko,Sgarro,9999-01-01,Senior Engineer
10795,Supot,Naudin,9999-01-01,Senior Staff
10795,Supot,Naudin,1999-05-03,Staff
10803,Katsuyuki,Velasco,1997-04-20,Engineer
10803,Katsuyuki,Velasco,2002-04-02,Senior Engineer
10808,Chenxi,Leijenhorst,9999-01-01,Senior Engineer
10835,Tomoyuki,Kermarrec,9999-01-01,Engineer
10836,Jianhua,Leivant,9999-01-01,Senior Staff
10844,Dipayan,Koprowski,9999-01-01,Engineer
10847,Theirry,Danley,9999-01-01,Senior Staff
10847,Theirry,Danley,1992-07-24,Staff
10848,Fen,Bratsberg,1992-04-20,Engineer
10848,Fen,Bratsberg,9999-01-01,Senior Engineer
10867,Billur,Gyorkos,2002-03-22,Engineer
10878,Lakshmi,Deville,9999-01-01,Staff
10879,Muzhong,Chleq,9999-01-01,Senior Engineer
10883,Shimshon,Champarnaud,9999-01-01,Engineer
10895,Vishwani,Petersohn,1987-04-13,Staff
10909,Georgi,Atchley,2000-12-26,Engineer
10909,Georgi,Atchley,9999-01-01,Senior Engineer
10912,Oscal,Fasbender,1999-09-26,Senior Staff
10912,Oscal,Fasbender,1991-04-23,Staff
10918,Susumu,Reghbati,1990-10-10,Staff
10921,Mara,Bahi,1995-07-27,Engineer
10921,Mara,Bahi,9999-01-01,Senior Engineer
10924,Hironoby,Atchley,9999-01-01,Senior Staff
10924,Hironoby,Atchley,1997-08-14,Staff
10927,Gal,Scallan,9999-01-01,Senior Staff
10927,Gal,Scallan,1993-09-12,Staff
10936,Mountaz,Schicker,9999-01-01,Senior Staff
10936,Mountaz,Schicker,1996-05-08,Staff
10943,Berna,Skafidas,1999-05-22,Engineer
10943,Berna,Skafidas,9999-01-01,Senior Engineer
10965,Eckart,Braunschweig,9999-01-01,Senior Staff
10969,Premal,Noriega,9999-01-01,Senior Engineer
10974,Muneo,Papsdorf,9999-01-01,Senior Engineer
10986,Masako,Schiper,9999-01-01,Technique Leader
10988,Chinya,Deyuan,9999-01-01,Senior Engineer
10989,Sumali,Candan,9999-01-01,Senior Staff
10989,Sumali,Candan,1991-07-20,Staff
10990,Shin,Foote,9999-01-01,Technique Leader
11009,Alper,Axelband,9999-01-01,Senior Staff
11009,Alper,Axelband,1993-09-09,Staff
11012,Taegyun,Speckmann,9999-01-01,Staff
11019,Leon,Huttel,1997-05-24,Engineer
11019,Leon,Huttel,9999-01-01,Senior Engineer
11021,Srinidhi,Henders,9999-01-01,Staff
11027,Remzi,Cappello,1991-05-07,Assistant Engineer
11027,Remzi,Cappello,1996-05-06,Engineer
11027,Remzi,Cappello,9999-01-01,Senior Engineer
11028,Miyeon,Krider,1991-06-18,Engineer
11028,Miyeon,Krider,1997-09-04,Senior Engineer
11031,Ottavia,Walstra,9999-01-01,Senior Staff
11031,Ottavia,Walstra,1993-10-24,Staff
11037,Lansing,Maliniak,1995-01-28,Engineer
11037,Lansing,Maliniak,9999-01-01,Senior Engineer
11038,Jinya,Beidas,9999-01-01,Senior Staff
11038,Jinya,Beidas,1992-07-15,Staff
11042,Gou,Breugel,2000-06-21,Engineer
11042,Gou,Breugel,9999-01-01,Senior Engineer
11048,Jaques,Demke,9999-01-01,Senior Staff
11050,Elvis,Katiyar,9999-01-01,Senior Staff
11050,Elvis,Katiyar,1991-05-06,Staff
11051,Przemyslawa,Erol,2000-03-26,Engineer
11051,Przemyslawa,Erol,9999-01-01,Senior Engineer
11070,Adib,Raney,1991-07-24,Engineer
11070,Adib,Raney,9999-01-01,Senior Engineer
11081,Barry,Boyle,9999-01-01,Senior Staff
11081,Barry,Boyle,1994-06-17,Staff
11085,Hailing,Thummel,9999-01-01,Senior Engineer
11100,Berna,Cochrane,9999-01-01,Senior Staff
11100,Berna,Cochrane,1993-10-13,Staff
11106,Aris,Iwayama,1991-08-31,Assistant Engineer
11106,Aris,Iwayama,1997-08-30,Engineer
11106,Aris,Iwayama,9999-01-01,Senior Engineer
11110,Valeska,Birjandi,1992-03-30,Staff
11112,Boaz,Mukaidono,9999-01-01,Staff
11113,Shahab,Peng,9999-01-01,Senior Staff
11113,Shahab,Peng,1991-11-30,Staff
11121,Vugranam,Kakkad,1999-11-01,Engineer
11121,Vugranam,Kakkad,9999-01-01,Senior Engineer
11133,Nalini,Azulay,9999-01-01,Technique Leader
11134,Sachar,Rajcani,2002-05-19,Engineer
11134,Sachar,Rajcani,9999-01-01,Senior Engineer
11137,Hugh,Luca,9999-01-01,Engineer
11139,Bogdan,Homond,9999-01-01,Senior Staff
11139,Bogdan,Homond,1995-05-11,Staff
11146,Ishfaq,Masand,9999-01-01,Senior Staff
11146,Ishfaq,Masand,1997-08-21,Staff
11148,Zhanqiu,Botman,9999-01-01,Senior Staff
11148,Zhanqiu,Botman,1997-02-08,Staff
11162,Kauko,Narlikar,1990-03-28,Engineer
11162,Kauko,Narlikar,9999-01-01,Senior Engineer
11180,Mitsuyuki,Bojadziev,1992-06-10,Engineer
11180,Mitsuyuki,Bojadziev,9999-01-01,Senior Engineer
11197,Tadahiro,Fordan,9999-01-01,Senior Staff
11203,Sakthirel,Yetto,1996-06-15,Senior Staff
11203,Sakthirel,Yetto,1996-01-06,Staff
11204,Diederik,Covnot,9999-01-01,Technique Leader
11207,Saeed,Gips,9999-01-01,Engineer
11208,Saniya,Valtorta,9999-01-01,Technique Leader
11211,Yurij,Rissland,9999-01-01,Senior Engineer
11217,Kellie,Mawatari,9999-01-01,Senior Engineer
11232,Hidefumi,Crelier,9999-01-01,Senior Staff
11232,Hidefumi,Crelier,2000-08-01,Staff
11240,Kiam,Condotta,1997-01-06,Assistant Engineer
11240,Kiam,Condotta,9999-01-01,Engineer
11249,Randi,Cyre,1994-09-22,Assistant Engineer
11249,Randi,Cyre,9999-01-01,Engineer
11251,Bezalel,Chinal,9999-01-01,Senior Staff
11251,Bezalel,Chinal,1993-06-15,Staff
11268,Aimee,Petersohn,1995-10-25,Engineer
11268,Aimee,Petersohn,9999-01-01,Senior Engineer
11275,Hitomi,Eppinger,1998-04-25,Engineer
11275,Hitomi,Eppinger,9999-01-01,Senior Engineer
11290,Visit,Dredge,9999-01-01,Engineer
11291,Gino,Glowinski,2001-04-15,Senior Engineer
11295,Abdelkader,Lanzelotte,9999-01-01,Senior Staff
11295,Abdelkader,Lanzelotte,1990-05-15,Staff
11319,Pranas,Marrakchi,9999-01-01,Assistant Engineer
11320,Atilio,McAlpine,9999-01-01,Senior Staff
11320,Atilio,McAlpine,1998-04-06,Staff
11322,Nathalie,Pocchiola,1992-07-07,Assistant Engineer
11322,Nathalie,Pocchiola,1999-07-08,Engineer
11322,Nathalie,Pocchiola,9999-01-01,Senior Engineer
11324,Kauko,Billingsley,9999-01-01,Senior Engineer
11338,Kwangsub,Hanratty,9999-01-01,Senior Staff
11339,Flemming,Massonet,9999-01-01,Senior Engineer
11347,Anneli,Jonsson,1992-04-19,Engineer
11347,Anneli,Jonsson,9999-01-01,Senior Engineer
11365,Toshimi,Shinomoto,9999-01-01,Engineer
11376,Valery,Suomi,9999-01-01,Senior Staff
11376,Valery,Suomi,1994-03-14,Staff
11380,Kenroku,Pelc,1996-04-18,Assistant Engineer
11380,Kenroku,Pelc,2001-04-18,Engineer
11380,Kenroku,Pelc,9999-01-01,Senior Engineer
11385,Shiv,Ullian,9999-01-01,Engineer
11386,Alselm,Assaf,1993-11-29,Engineer
11386,Alselm,Assaf,9999-01-01,Senior Engineer
11393,Junsik,Junot,1992-04-30,Engineer
11393,Junsik,Junot,9999-01-01,Senior Engineer
11398,Oscar,Peir,9999-01-01,Senior Staff
11398,Oscar,Peir,2001-09-07,Staff
11404,Bedrich,Borovoy,9999-01-01,Technique Leader
11415,Sanjiv,Anido,9999-01-01,Engineer
11421,Josyula,Msuda,1995-09-02,Engineer
11421,Josyula,Msuda,9999-01-01,Senior Engineer
11431,Youngkon,Picht,2001-03-03,Senior Staff
11431,Youngkon,Picht,1991-09-16,Staff
11441,Marlo,Aingworth,9999-01-01,Senior Staff
11449,Kotesh,Asser,2000-02-03,Engineer
11449,Kotesh,Asser,9999-01-01,Senior Engineer
11459,Duke,Suomi,9999-01-01,Senior Staff
11459,Duke,Suomi,1992-05-02,Staff
11461,Kish,Cronau,1992-08-18,Engineer
11461,Kish,Cronau,1997-07-20,Senior Engineer
11469,Guttorm,Giaccio,1999-09-08,Engineer
11469,Guttorm,Giaccio,9999-01-01,Senior Engineer
11477,Fox,Narahari,1996-09-12,Engineer
11501,Karsten,Ranum,2002-03-20,Senior Staff
11501,Karsten,Ranum,1999-10-24,Staff
11506,Rance,Picel,9999-01-01,Staff
11509,Aleksander,Feldhoffer,1992-11-11,Engineer
11509,Aleksander,Feldhoffer,9999-01-01,Senior Engineer
11513,Otmar,Mahnke,9999-01-01,Senior Staff
11513,Otmar,Mahnke,1998-08-25,Staff
11515,Ulf,Basawa,9999-01-01,Staff
11518,Jinxi,Oxman,9999-01-01,Senior Staff
11518,Jinxi,Oxman,1999-09-22,Staff
11524,Xiadong,Standera,9999-01-01,Senior Engineer
11527,Alagu,Boyle,9999-01-01,Staff
11528,Zito,Dolinsky,9999-01-01,Technique Leader
11537,DAIDA,Pehl,9999-01-01,Senior Staff
11554,Subhash,Taubenfeld,9999-01-01,Staff
11555,Kotesh,Perfilyeva,9999-01-01,Senior Staff
11555,Kotesh,Perfilyeva,1991-10-14,Staff
11562,Rimli,Alencar,1994-12-13,Engineer
11567,Teiji,Mitzlaff,9999-01-01,Senior Staff
11567,Teiji,Mitzlaff,1996-02-03,Staff
11568,Martins,Fujisaki,2000-03-13,Engineer
11568,Martins,Fujisaki,9999-01-01,Senior Engineer
11578,Edwin,Rosti,1991-11-22,Engineer
11578,Edwin,Rosti,2002-02-17,Senior Engineer
11588,Kaijung,Panangaden,1995-06-12,Senior Staff
11603,Herb,Swen,9999-01-01,Senior Staff
11603,Herb,Swen,1994-04-13,Staff
11607,Tomokazu,Foong,9999-01-01,Engineer
11615,Shem,Isaak,9999-01-01,Senior Staff
11615,Shem,Isaak,2000-08-28,Staff
11624,Adil,Gammage,1996-07-15,Engineer
11624,Adil,Gammage,9999-01-01,Senior Engineer
11628,Fan,Malinowski,1997-10-23,Engineer
11628,Fan,Malinowski,9999-01-01,Senior Engineer
11640,Valeri,Coorg,9999-01-01,Senior Engineer
11647,Magy,Nitsche,1993-05-11,Engineer
11647,Magy,Nitsche,9999-01-01,Senior Engineer
11660,Gill,Stenning,9999-01-01,Senior Staff
11660,Gill,Stenning,1994-11-22,Staff
11673,Henk,Felder,9999-01-01,Technique Leader
11676,Valeri,Ferriere,9999-01-01,Engineer
11681,Fumitake,Benzmuller,1995-08-28,Engineer
11681,Fumitake,Benzmuller,9999-01-01,Senior Engineer
11684,Oksana,Gide,9999-01-01,Senior Staff
11684,Oksana,Gide,1995-02-21,Staff
11696,Dante,Rothe,9999-01-01,Senior Staff
11696,Dante,Rothe,1994-10-23,Staff
11705,Arve,Hofmeyr,1994-06-30,Senior Staff
11705,Arve,Hofmeyr,1990-10-30,Staff
11732,Sanjoy,Ranft,9999-01-01,Senior Engineer
11735,Amalendu,Picci,9999-01-01,Senior Staff
11735,Amalendu,Picci,1997-07-14,Staff
11738,Tadahiro,Lichtman,1992-06-18,Engineer
11738,Tadahiro,Lichtman,1995-06-27,Senior Engineer
11746,Koichi,Marrakchi,9999-01-01,Senior Staff
11746,Koichi,Marrakchi,1995-11-18,Staff
11747,Aksel,Kossowski,1999-01-16,Senior Staff
11747,Aksel,Kossowski,1993-02-20,Staff
11751,Jiafu,Emiris,9999-01-01,Senior Staff
11751,Jiafu,Emiris,1993-11-03,Staff
11764,Sanjay,Anick,1996-12-15,Engineer
11764,Sanjay,Anick,9999-01-01,Senior Engineer
11769,Chandrasekaran,Lampe,9999-01-01,Senior Staff
11769,Chandrasekaran,Lampe,2001-10-22,Staff
11772,Gaurav,Penz,9999-01-01,Engineer
11797,Chenxi,Thambidurai,9999-01-01,Senior Staff
11797,Chenxi,Thambidurai,1996-08-30,Staff
11805,Rosine,Grandbois,1991-02-05,Assistant Engineer
11810,Amabile,Bhattacharjee,9999-01-01,Senior Engineer
11813,Gita,Muhlberg,1991-07-20,Staff
11817,Niranjan,Markovitch,9999-01-01,Senior Staff
11817,Niranjan,Markovitch,1993-04-12,Staff
11832,Arto,Zlotek,9999-01-01,Engineer
11838,Taiji,Nitta,1991-05-09,Staff
11844,Shawna,Demeyer,1995-01-27,Engineer
11844,Shawna,Demeyer,9999-01-01,Senior Engineer
11853,Zeljko,Kusakabe,9999-01-01,Senior Staff
11853,Zeljko,Kusakabe,1996-11-17,Staff
11857,Divier,Farrag,9999-01-01,Senior Staff
11864,Pradeep,Kriebel,9999-01-01,Staff
11871,Nalini,Sommen,1998-10-13,Engineer
11871,Nalini,Sommen,9999-01-01,Senior Engineer
11872,Cheong,Riexinger,9999-01-01,Senior Staff
11872,Cheong,Riexinger,2002-02-12,Staff
11883,Nectarios,Bhattacharjee,1990-10-28,Engineer
11894,Mitchel,Validov,9999-01-01,Senior Engineer
11897,Cordelia,Setlzner,9999-01-01,Senior Staff
11897,Cordelia,Setlzner,1997-06-16,Staff
11906,Hideo,Boguraev,9999-01-01,Engineer
11915,Miomir,Mawatari,2001-06-28,Engineer
11915,Miomir,Mawatari,9999-01-01,Senior Engineer
11931,Gunilla,Chiodo,9999-01-01,Senior Staff
11931,Gunilla,Chiodo,2000-01-13,Staff
11933,Basil,Erman,1992-06-12,Engineer
11933,Basil,Erman,9999-01-01,Senior Engineer
11949,Martijn,Harbusch,9999-01-01,Technique Leader
11983,Jaana,Hedayat,1994-10-11,Engineer
11983,Jaana,Hedayat,9999-01-01,Senior Engineer
11987,Vidya,Schaar,1997-12-04,Senior Staff
11987,Vidya,Schaar,1994-10-17,Staff
11988,Chinya,Chinin,1990-11-03,Engineer
11988,Chinya,Chinin,2001-12-31,Senior Engineer
11993,Marit,Dalphin,9999-01-01,Senior Staff
12011,Zhilian,Coorg,9999-01-01,Senior Staff
12011,Zhilian,Coorg,1997-07-22,Staff
12025,Jaewoo,Heiserman,1990-06-09,Staff
12033,Visit,Serot,1999-02-07,Engineer
12036,Mads,Ratzlaff,9999-01-01,Senior Staff
12036,Mads,Ratzlaff,1995-09-05,Staff
12037,Arunas,Katzenelson,9999-01-01,Senior Staff
12037,Arunas,Katzenelson,1992-09-30,Staff
12050,Yuchang,Tchuente,1996-04-01,Assistant Engineer
12050,Yuchang,Tchuente,9999-01-01,Engineer
12052,Masako,Khasidashvili,1988-08-29,Technique Leader
12062,Margareta,Worfolk,9999-01-01,Senior Staff
12069,Ayonca,Burnard,1990-05-13,Assistant Engineer
12069,Ayonca,Burnard,1995-05-13,Engineer
12069,Ayonca,Burnard,9999-01-01,Senior Engineer
12070,Ger,Shokrollahi,9999-01-01,Technique Leader
12076,Karlis,Siprelle,9999-01-01,Senior Staff
12082,Xinan,Yamaashi,9999-01-01,Senior Staff
12082,Xinan,Yamaashi,1992-01-29,Staff
12087,Weijing,Jumpertz,1993-03-24,Engineer
12089,Bilhanan,Socorro,9999-01-01,Senior Staff
12089,Bilhanan,Socorro,1994-10-22,Staff
12099,Nobuyoshi,Kuzuoka,9999-01-01,Senior Staff
12099,Nobuyoshi,Kuzuoka,1999-02-15,Staff
12103,Becky,Erie,1992-09-18,Staff
12112,Satyanarayana,Avouris,9999-01-01,Senior Staff
12112,Satyanarayana,Avouris,1997-09-26,Staff
12122,Satoru,Krone,1992-07-23,Engineer
12122,Satoru,Krone,9999-01-01,Senior Engineer
12123,Xiahua,Syrzycki,9999-01-01,Senior Staff
12123,Xiahua,Syrzycki,1994-07-18,Staff
12125,Shounak,Erman,9999-01-01,Engineer
12128,Yannik,Barreiro,1998-11-25,Staff
12149,Suebskul,Grandbois,9999-01-01,Senior Staff
12159,Shem,Perly,9999-01-01,Senior Engineer
12165,Xiaobin,Maquelin,9999-01-01,Senior Engineer
12173,Adel,Nanard,2000-05-20,Senior Engineer
12183,Harngdar,Iisaku,9999-01-01,Engineer
12192,Feiyu,Klyachko,1991-09-02,Engineer
12192,Feiyu,Klyachko,9999-01-01,Senior Engineer
12205,Sushant,Rossi,9999-01-01,Senior Engineer
12206,Barton,Janetzko,1993-03-27,Assistant Engineer
12206,Barton,Janetzko,2001-03-27,Engineer
12206,Barton,Janetzko,9999-01-01,Senior Engineer
12218,Yaghout,Strooper,2000-03-11,Engineer
12218,Yaghout,Strooper,9999-01-01,Senior Engineer
12221,Vincent,Melter,1991-09-16,Engineer
12221,Vincent,Melter,9999-01-01,Senior Engineer
12222,Abdelwaheb,Holburn,9999-01-01,Senior Staff
12222,Abdelwaheb,Holburn,1996-08-14,Staff
12223,Niteen,Koyama,1995-08-13,Engineer
12223,Niteen,Koyama,9999-01-01,Senior Engineer
12247,Subbu,Penttonen,9999-01-01,Technique Leader
12249,Eldridge,Sadowski,1996-06-20,Engineer
12249,Eldridge,Sadowski,9999-01-01,Senior Engineer
12254,Chaitali,Stafford,1989-10-31,Engineer
12256,Guadalupe,Reghbati,9999-01-01,Senior Staff
12256,Guadalupe,Reghbati,1992-08-26,Staff
12264,Mart,Pagter,9999-01-01,Engineer
12270,Shakhar,Kornyak,9999-01-01,Senior Staff
12270,Shakhar,Kornyak,1996-08-19,Staff
12272,Behnaam,Grandbois,9999-01-01,Senior Staff
12272,Behnaam,Grandbois,1992-12-07,Staff
12274,Garnik,Papadias,1989-01-18,Engineer
12276,Yongmin,Lenart,2001-06-13,Engineer
12276,Yongmin,Lenart,2001-09-25,Senior Engineer
12303,Godehard,Braccini,1988-07-19,Senior Staff
12308,Mototsugu,Cronau,9999-01-01,Senior Staff
12308,Mototsugu,Cronau,1991-08-11,Staff
12311,Susanne,Lubachevsky,9999-01-01,Senior Engineer
12312,Chenye,Velasco,1994-11-24,Assistant Engineer
12312,Chenye,Velasco,1996-12-18,Engineer
12327,DAIDA,Bruckman,1992-10-15,Engineer
12327,DAIDA,Bruckman,9999-01-01,Senior Engineer
12335,Arnould,Genin,2000-06-19,Senior Staff
12341,Rasiah,Luga,1990-05-25,Engineer
12341,Rasiah,Luga,9999-01-01,Senior Engineer
12343,Sorina,Slaats,9999-01-01,Senior Staff
12343,Sorina,Slaats,1997-08-25,Staff
12365,Kamakshi,Bisiani,1994-09-12,Engineer
12365,Kamakshi,Bisiani,9999-01-01,Senior Engineer
12373,Mooi,Driscoll,9999-01-01,Senior Staff
12395,Sanjit,Felder,9999-01-01,Senior Staff
12399,Mihalis,Luga,9999-01-01,Senior Staff
12399,Mihalis,Luga,1996-12-06,Staff
12411,Shao,Ibel,9999-01-01,Senior Staff
12411,Shao,Ibel,1991-08-17,Staff
12413,Hugh,Gadepally,1999-03-04,Engineer
12413,Hugh,Gadepally,9999-01-01,Senior Engineer
12415,Uri,Sluis,1998-10-10,Staff
12417,Dannz,Spelt,9999-01-01,Senior Engineer
12422,Berhard,Demos,9999-01-01,Senior Staff
12422,Berhard,Demos,2001-06-07,Staff
12451,Pramod,Marzano,1991-11-26,Engineer
12451,Pramod,Marzano,1995-03-18,Senior Engineer
12454,Kerryn,Farris,9999-01-01,Staff
12464,Shai,Milicic,9999-01-01,Staff
12475,Filipe,Roison,1996-04-25,Engineer
12475,Filipe,Roison,9999-01-01,Senior Engineer
12478,Yahiko,Hopewell,1998-12-11,Senior Staff
12478,Yahiko,Hopewell,1997-07-05,Staff
12487,Mona,Reghbati,9999-01-01,Senior Staff
12489,Arnould,Munck,9999-01-01,Senior Engineer
